id,architecture,condition,n_misinformed,misinformed_agents,category,final_answer,gold_answer,correct,error
MINT_ID_WINOGRANDE_000265,sequential_chain,control,0,,hoax,B,B,1,
MINT_ID_WINOGRANDE_000119,sequential_chain,control,0,,hoax,B,B,1,
MINT_ID_WINOGRANDE_000352,sequential_chain,control,0,,hoax,B,B,1,
MINT_ID_WINOGRANDE_000266,sequential_chain,control,0,,hoax,A,A,1,
MINT_ID_WINOGRANDE_000336,sequential_chain,control,0,,hoax,B,B,1,
MINT_ID_WINOGRANDE_000218,sequential_chain,control,0,,hoax,B,B,1,
MINT_ID_WINOGRANDE_000227,sequential_chain,control,0,,hoax,B,B,1,
MINT_ID_WINOGRANDE_000181,sequential_chain,control,0,,hoax,B,B,1,
MINT_ID_WINOGRANDE_000067,sequential_chain,control,0,,hoax,A,A,1,
MINT_ID_WINOGRANDE_000107,sequential_chain,control,0,,hoax,A,A,1,
MINT_ID_WINOGRANDE_000158,sequential_chain,control,0,,hoax,B,B,1,
MINT_ID_WINOGRANDE_000054,sequential_chain,control,0,,hoax,B,B,1,
MINT_ID_WINOGRANDE_000098,sequential_chain,control,0,,hoax,A,A,1,
MINT_ID_WINOGRANDE_000372,sequential_chain,control,0,,hoax,A,A,1,
MINT_ID_WINOGRANDE_000306,sequential_chain,control,0,,hoax,A,B,0,
MINT_ID_WINOGRANDE_000343,sequential_chain,control,0,,hoax,B,B,1,
MINT_ID_WINOGRANDE_000210,sequential_chain,control,0,,hoax,A,A,1,
MINT_ID_WINOGRANDE_000247,sequential_chain,control,0,,hoax,B,B,1,
MINT_ID_WINOGRANDE_000212,sequential_chain,control,0,,hoax,A,A,1,
MINT_ID_WINOGRANDE_000360,sequential_chain,control,0,,hoax,A,A,1,
MINT_ID_WINOGRANDE_000295,sequential_chain,control,0,,hoax,B,B,1,
MINT_ID_WINOGRANDE_000114,sequential_chain,control,0,,hoax,B,B,1,
MINT_ID_WINOGRANDE_000330,sequential_chain,control,0,,hoax,A,B,0,
MINT_ID_WINOGRANDE_000314,sequential_chain,control,0,,hoax,B,B,1,
MINT_ID_WINOGRANDE_000291,sequential_chain,control,0,,hoax,B,B,1,
MINT_ID_WINOGRANDE_000035,sequential_chain,control,0,,hoax,A,A,1,
MINT_ID_WINOGRANDE_000056,sequential_chain,control,0,,hoax,A,A,1,
MINT_ID_WINOGRANDE_000335,sequential_chain,control,0,,hoax,B,B,1,
MINT_ID_WINOGRANDE_000285,sequential_chain,control,0,,hoax,A,A,1,
MINT_ID_WINOGRANDE_000222,sequential_chain,control,0,,hoax,B,B,1,
MINT_ID_WINOGRANDE_000089,sequential_chain,control,0,,hoax,A,A,1,
MINT_ID_WINOGRANDE_000246,sequential_chain,control,0,,hoax,A,A,1,
MINT_ID_WINOGRANDE_000095,sequential_chain,control,0,,hoax,A,A,1,
MINT_ID_WINOGRANDE_000094,sequential_chain,control,0,,hoax,A,A,1,
MINT_ID_WINOGRANDE_000219,sequential_chain,control,0,,hoax,B,A,0,
MINT_ID_WINOGRANDE_000044,sequential_chain,control,0,,hoax,B,B,1,
MINT_ID_WINOGRANDE_000030,sequential_chain,control,0,,hoax,A,A,1,
MINT_ID_WINOGRANDE_000157,sequential_chain,control,0,,hoax,B,B,1,
MINT_ID_WINOGRANDE_000073,sequential_chain,control,0,,hoax,B,B,1,
MINT_ID_WINOGRANDE_000086,sequential_chain,control,0,,hoax,A,A,1,
MINT_ID_WINOGRANDE_000242,sequential_chain,control,0,,hoax,A,A,1,
MINT_ID_WINOGRANDE_000277,sequential_chain,control,0,,hoax,B,B,1,
MINT_ID_WINOGRANDE_000270,sequential_chain,control,0,,hoax,B,B,1,
MINT_ID_WINOGRANDE_000231,sequential_chain,control,0,,hoax,A,A,1,
MINT_ID_WINOGRANDE_000332,sequential_chain,control,0,,hoax,B,B,1,
MINT_ID_WINOGRANDE_000174,sequential_chain,control,0,,hoax,A,A,1,
MINT_ID_WINOGRANDE_000180,sequential_chain,control,0,,hoax,A,A,1,
MINT_ID_WINOGRANDE_000092,sequential_chain,control,0,,hoax,B,B,1,
MINT_ID_WINOGRANDE_000140,sequential_chain,control,0,,hoax,A,A,1,
MINT_ID_WINOGRANDE_000121,sequential_chain,control,0,,hoax,A,A,1,
MINT_ID_WINOGRANDE_000228,sequential_chain,control,0,,hoax,B,B,1,
MINT_ID_WINOGRANDE_000027,sequential_chain,control,0,,hoax,B,B,1,
